Timestamp,Action,Case #,Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Parcel ID
2026-04-24T03:33:25,NEW,25001614CA,06/01/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-24T03:33:25,NEW,25000779CA,06/17/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-24T03:33:25,CLOSED,24001739CA,04/23/2026 11:00 AM ET,"3136 HARBOR BLVD -UNIT 2A PORT CHARLOTTE, FL- 33952","$79,585.34","$27,191.00",Hidden,402222603003
2026-04-27T03:33:33,NEW,25001472CC,05/11/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-27T03:33:33,NEW,24000771CC,05/20/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-27T03:33:33,NEW,24001453CC,05/20/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-27T03:33:33,NEW,25000814CC,05/20/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-27T03:33:33,NEW,25000337CC,05/27/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-27T03:33:33,NEW,25001381CA,05/28/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-27T03:33:33,NEW,25000979CA,06/01/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-27T03:33:33,NEW,25000869CA,06/10/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-27T03:33:33,CLOSED,25000086CA,04/24/2026 11:00 AM ET,"21010 MIDWAY BLVD PORT CHARLOTTE, FL- 33952","$405,485.76","$294,755.00",Hidden,402216230017
2026-04-27T03:33:33,CLOSED,25000566CA,04/24/2026 11:00 AM ET,"701 DALTON BLVD PORT CHARLOTTE, FL- 33952","$254,303.62","$133,348.00",Hidden,402227281005
2026-04-27T03:33:33,CLOSED,25000714CA,04/24/2026 11:00 AM ET,"573 ROSE APPLE CIR PORT CHARLOTTE, FL- 33954","$294,159.37","$16,179.00",Hidden,402204357011
2026-04-27T03:33:33,CLOSED,25000826CA,04/24/2026 11:00 AM ET,"22442 PEACHLAND BLVD PORT CHARLOTTE, FL- 33954","$307,331.25","$16,150.00",Hidden,402202480018
2026-04-27T03:33:33,CLOSED,25001614CA,06/01/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-28T03:33:23,CLOSED,25000736CA,04/27/2026 11:00 AM ET,"434 ALBATROSS RD ROTONDA WEST, FL- 33947","$300,363.00","$18,573.00",Hidden,412117107019
2026-04-29T03:33:23,NEW,24001455CA,05/27/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-04-29T03:33:23,CLOSED,24002256CA,05/04/2026 11:00 AM ET,"1080 GULF BLVD ENGLEWOOD, FL- 34223","$1,090,066.08","$268,770.00",Hidden,412018103006
2026-04-29T03:33:23,CLOSED,24001219CA,05/11/2026 11:00 AM ET,"111 RODGERS AVE NE PORT CHARLOTTE, FL- 33952 Plaintiff max bid: $70,154.42","$70,154.42",Hidden,Hidden,Property Appraiser
2026-05-01T03:33:11,NEW,25000833CA,05/07/2026 11:00 AM ET,,$0.00,Hidden,Hidden,
2026-05-01T03:33:11,NEW,24001747CA,05/27/2026 11:00 AM ET,"2611 LAKESHORE CIR PORT CHARLOTTE, FL- 33952","$255,451.46","$18,142.00",Hidden,402216476024
2026-05-01T03:33:11,CLOSED,25000711CA,04/29/2026 11:00 AM ET,"475 WINWOOD CT PORT CHARLOTTE, FL- 33954","$307,907.96","$234,692.00",Hidden,402204357020
